ds,y
2018-01-01,13062.460000000001
2018-01-02,61972.66
2018-01-03,54424.439999999995
2018-01-04,21775.57
2018-01-05,41703.32
2018-01-06,9299.75
2018-01-07,988.73
2018-01-08,29365.72
2018-01-09,31053.81
2018-01-10,51899.11
2018-01-11,32412.29
2018-01-12,53804.58
2018-01-13,6643.83
2018-01-14,6180.27
2018-01-15,103554.74
2018-01-16,31897.489999999998
2018-01-17,40659.59
2018-01-18,24732.86
2018-01-19,49513.79
2018-01-20,8329.67
2018-01-21,6515.5
2018-01-22,118938.76000000001
2018-01-23,41019.89
2018-01-24,51986.03
2018-01-25,38710.3
2018-01-26,68226.81
2018-01-27,2649.36
2018-01-28,9826.03
2018-01-29,63722.08
2018-01-30,92136.55
2018-01-31,168888.01
2018-02-01,209608.02
2018-02-02,87786.89
2018-02-03,16944.86
2018-02-04,5602.26
2018-02-05,163477.78
2018-02-06,119580.96
2018-02-07,115072.39
2018-02-08,60051.32
2018-02-09,53427.71
2018-02-10,23021.35
2018-02-11,13179.060000000001
2018-02-12,6406.55
2018-02-13,16569.13
2018-02-14,29806.8
2018-02-15,90779.87
2018-02-16,62033.12
2018-02-17,16286.66
2018-02-18,30919.91
2018-02-19,97020.02
2018-02-20,75866.69
2018-02-21,71568.31
2018-02-22,106039.53
2018-02-23,83738.51
2018-02-24,23000.05
2018-02-25,16455.55
2018-02-26,112774.18
2018-02-27,136542.3
2018-02-28,217707.74
2018-03-01,223443.37
2018-03-02,149242.54
2018-03-03,30382.25
2018-03-04,7018.820000000001
2018-03-05,136241.12
2018-03-06,75915.95
2018-03-07,87710.12
2018-03-08,163137.16
2018-03-09,106587.62
2018-03-10,16385.09
2018-03-11,21257.84
2018-03-12,86796.18
2018-03-13,95942.11
2018-03-14,52998.97
2018-03-15,92188.46
2018-03-16,60887.54
2018-03-17,15676.22
2018-03-18,8412.880000000001
2018-03-19,105402.28
2018-03-20,105465.11
2018-03-21,142819.87
2018-03-22,92040.48
2018-03-23,86863.92
2018-03-24,21081.81
2018-03-25,13625.380000000001
2018-03-26,84861.2
2018-03-27,102370.26
2018-03-28,106006.48
2018-03-29,103245.22
2018-03-30,24303.15
2018-03-31,114209.99
2018-04-01,39554.12
2018-04-02,276196.82
2018-04-03,157955.71
2018-04-04,124467.75
2018-04-05,155898.75
2018-04-06,52127.11
2018-04-07,9498.77
2018-04-08,12099.48
2018-04-09,128928.79
2018-04-10,164912.53
2018-04-11,155025.26
2018-04-12,72418.3
2018-04-13,52649.049999999996
2018-04-14,29909.02
2018-04-15,18316.73
2018-04-16,55304.66
2018-04-17,88127.69
2018-04-18,87266.15
2018-04-19,58623.15
2018-04-20,63014.159999999996
2018-04-21,13648.0
2018-04-22,9181.28
2018-04-23,91481.95
2018-04-24,78026.33
2018-04-25,82234.99
2018-04-26,78959.52
2018-04-27,65506.75
2018-04-28,20352.82
2018-04-29,7688.66
2018-04-30,169352.19
2018-05-01,38479.77
2018-05-02,240120.26
2018-05-03,102283.01
2018-05-04,79495.35
2018-05-05,41786.65
2018-05-06,8318.03
2018-05-07,81265.56999999999
2018-05-08,60907.24
2018-05-09,105618.4
2018-05-10,100474.41
2018-05-11,52498.78
2018-05-12,39940.45
2018-05-13,8918.51
2018-05-14,69505.91
2018-05-15,134771.04
2018-05-16,109283.56
2018-05-17,52818.0
2018-05-18,45755.61
2018-05-19,19482.54
2018-05-20,23569.68
2018-05-21,85930.03
2018-05-22,69310.05
2018-05-23,88236.84
2018-05-24,78150.13
2018-05-25,57577.43
2018-05-26,25253.09
2018-05-27,35876.6
2018-05-28,64677.71
2018-05-29,75017.4
2018-05-30,116443.69
2018-05-31,106078.24
2018-06-01,159585.05
2018-06-02,17243.94
2018-06-03,9350.8
2018-06-04,166371.59
2018-06-05,155218.46
2018-06-06,78836.86
2018-06-07,58890.32
2018-06-08,54384.76
2018-06-09,29079.73
2018-06-10,28557.73
2018-06-11,175781.47
2018-06-12,77717.52
2018-06-13,69744.31999999999
2018-06-14,54839.54
2018-06-15,57445.01
2018-06-16,31244.239999999998
2018-06-17,10150.98
2018-06-18,79145.01
2018-06-19,113732.78
2018-06-20,59188.729999999996
2018-06-21,49005.52
2018-06-22,34681.01
2018-06-23,26703.35
2018-06-24,6503.5199999999995
2018-06-25,97600.1
2018-06-26,86859.92
2018-06-27,62324.33
2018-06-28,74016.67
2018-06-29,73783.87
2018-06-30,95091.57
2018-07-01,52229.37
2018-07-02,179663.57
2018-07-03,135313.71
2018-07-04,151498.77
2018-07-05,133266.81
2018-07-06,39507.11
2018-07-07,20755.62
2018-07-08,19371.49
2018-07-09,75962.75
2018-07-10,67138.4
2018-07-11,67454.31999999999
2018-07-12,116812.7
2018-07-13,33314.36
2018-07-14,19442.07
2018-07-15,29887.78
2018-07-16,46432.55
2018-07-17,51065.18
2018-07-18,69259.25
2018-07-19,34439.1
2018-07-20,55983.86
2018-07-21,14804.73
2018-07-22,35647.1
2018-07-23,82318.05
2018-07-24,80394.78
2018-07-25,107225.14
2018-07-26,69579.0
2018-07-27,38533.2
2018-07-28,10571.4
2018-07-29,12156.32
2018-07-30,108217.94
2018-07-31,168970.96
2018-08-01,238687.65
2018-08-02,65444.23
2018-08-03,124322.54
2018-08-04,14135.99
2018-08-05,64918.61
2018-08-06,64065.9
2018-08-07,81920.41
2018-08-08,62456.020000000004
2018-08-09,36430.4
2018-08-10,89042.62
2018-08-11,8903.33
2018-08-12,2121.15
2018-08-13,74780.87
2018-08-14,58218.08
2018-08-15,39491.45
2018-08-16,29876.83
2018-08-17,31433.71
2018-08-18,12450.44
2018-08-19,5974.89
2018-08-20,29539.65
2018-08-21,39977.11
2018-08-22,40518.15
2018-08-23,14831.95
2018-08-24,52122.92
2018-08-25,24036.71
2018-08-26,7956.93
2018-08-27,90277.48
2018-08-28,56020.44
2018-08-29,65262.590000000004
2018-08-30,49748.2
2018-08-31,119669.83
2018-09-01,41422.99
2018-09-02,14815.75
2018-09-03,142320.24
2018-09-04,103663.59
2018-09-05,113761.43
2018-09-06,56927.75
2018-09-07,3135.81
2018-09-08,4400.570000000001
2018-09-09,6053.59
2018-09-10,54579.24
2018-09-11,46454.88
2018-09-12,14407.880000000001
2018-09-13,42618.93
2018-09-14,9920.22
2018-09-15,13681.28
2018-09-16,9471.33
2018-09-17,48397.76
2018-09-18,19228.21
2018-09-19,31167.25
